row_idx,col_idx,log2ratio
就職,2015/3/25,0.285714285714286
就職,2015/3/26,0
就職,2015/3/27,0
就職,2015/3/28,0
就職,2015/3/29,0
就職,2015/3/30,0
收錢,2015/3/20,0
收錢,2015/3/21,0.00432900432900433
收錢,2015/3/22,0
收錢,2015/3/23,0
收錢,2015/3/24,0
收錢,2015/3/25,0.00714285714285714
收錢,2015/3/26,0.743169398907104
收錢,2015/3/27,0.00434782608695652
收錢,2015/3/28,0.0111731843575419
收錢,2015/3/29,0
收錢,2015/3/30,0
心機,2015/3/20,0
心機,2015/3/21,0
心機,2015/3/22,0
心機,2015/3/23,0
心機,2015/3/24,0.757847533632287
心機,2015/3/25,0
心機,2015/3/26,0
心機,2015/3/27,0
心機,2015/3/28,0.00558659217877095
心機,2015/3/29,0
心機,2015/3/30,0
用語,2015/3/20,0
用語,2015/3/21,0
用語,2015/3/22,0
用語,2015/3/23,0
用語,2015/3/24,0.00448430493273543
用語,2015/3/25,0
用語,2015/3/26,0
用語,2015/3/27,0
用語,2015/3/28,0.0223463687150838
用語,2015/3/29,0.716417910447761
用語,2015/3/30,0.0169491525423729
陸委會,2015/3/20,0
陸委會,2015/3/21,0
陸委會,2015/3/22,0
陸委會,2015/3/23,0
陸委會,2015/3/24,0.00448430493273543
陸委會,2015/3/25,0
陸委會,2015/3/26,0
陸委會,2015/3/27,0.334782608695652
陸委會,2015/3/28,0.0279329608938547
陸委會,2015/3/29,0.134328358208955
陸委會,2015/3/30,0.23728813559322
楊宏志,2015/3/20,0
楊宏志,2015/3/21,0
楊宏志,2015/3/22,0
楊宏志,2015/3/23,0
楊宏志,2015/3/24,0.00448430493273543
楊宏志,2015/3/25,0.707142857142857
楊宏志,2015/3/26,0
楊宏志,2015/3/27,0
楊宏志,2015/3/28,0
楊宏志,2015/3/29,0
楊宏志,2015/3/30,0
留下來,2015/3/20,0.00324675324675325
留下來,2015/3/21,0
留下來,2015/3/22,0
留下來,2015/3/23,0
留下來,2015/3/24,0.00448430493273543
留下來,2015/3/25,0
留下來,2015/3/26,0
留下來,2015/3/27,0.652173913043478
留下來,2015/3/28,0.0502793296089386
留下來,2015/3/29,0
留下來,2015/3/30,0
結盟,2015/3/20,0
結盟,2015/3/21,0
結盟,2015/3/22,0
結盟,2015/3/23,0
結盟,2015/3/24,0.00448430493273543
結盟,2015/3/25,0
結盟,2015/3/26,0
結盟,2015/3/27,0.660869565217391
結盟,2015/3/28,0
結盟,2015/3/29,0
結盟,2015/3/30,0
壓垮,2015/3/20,0.00324675324675325
壓垮,2015/3/21,0
壓垮,2015/3/22,0
壓垮,2015/3/23,0.636363636363636
壓垮,2015/3/24,0.00448430493273543
壓垮,2015/3/25,0
壓垮,2015/3/26,0
壓垮,2015/3/27,0
壓垮,2015/3/28,0
壓垮,2015/3/29,0
壓垮,2015/3/30,0
人文學系,2015/3/20,0
人文學系,2015/3/21,0
人文學系,2015/3/22,0
人文學系,2015/3/23,0
人文學系,2015/3/24,0.00448430493273543
人文學系,2015/3/25,0.578571428571429
人文學系,2015/3/26,0
人文學系,2015/3/27,0
人文學系,2015/3/28,0
人文學系,2015/3/29,0
人文學系,2015/3/30,0
陷入,2015/3/20,0.00324675324675325
陷入,2015/3/21,0
陷入,2015/3/22,0
陷入,2015/3/23,0.409090909090909
陷入,2015/3/24,0.00448430493273543
陷入,2015/3/25,0.0285714285714286
陷入,2015/3/26,0
陷入,2015/3/27,0.00434782608695652
陷入,2015/3/28,0.111731843575419
陷入,2015/3/29,0.0149253731343284
陷入,2015/3/30,0
甲乙,2015/3/20,0
甲乙,2015/3/21,0
甲乙,2015/3/22,0
甲乙,2015/3/23,0
甲乙,2015/3/24,0.00448430493273543
甲乙,2015/3/25,0
甲乙,2015/3/26,0
甲乙,2015/3/27,0
甲乙,2015/3/28,0.558659217877095
甲乙,2015/3/29,0
甲乙,2015/3/30,0
右派,2015/3/20,0.00324675324675325
右派,2015/3/21,0
右派,2015/3/22,0
右派,2015/3/23,0
右派,2015/3/24,0.00448430493273543
右派,2015/3/25,0
右派,2015/3/26,0.00546448087431694
右派,2015/3/27,0
右派,2015/3/28,0
右派,2015/3/29,0
右派,2015/3/30,0.542372881355932
歐蜜偉,2015/3/20,0
歐蜜偉,2015/3/21,0
歐蜜偉,2015/3/22,0
歐蜜偉,2015/3/23,0
歐蜜偉,2015/3/24,0.00448430493273543
歐蜜偉,2015/3/25,0.55
歐蜜偉,2015/3/26,0
歐蜜偉,2015/3/27,0
歐蜜偉,2015/3/28,0
歐蜜偉,2015/3/29,0
歐蜜偉,2015/3/30,0
臺南縣,2015/3/20,0
臺南縣,2015/3/21,0
臺南縣,2015/3/22,0.00392156862745098
臺南縣,2015/3/23,0.545454545454545
臺南縣,2015/3/24,0
臺南縣,2015/3/25,0
臺南縣,2015/3/26,0
臺南縣,2015/3/27,0
臺南縣,2015/3/28,0
臺南縣,2015/3/29,0
臺南縣,2015/3/30,0
封建,2015/3/20,0
封建,2015/3/21,0
封建,2015/3/22,0
封建,2015/3/23,0
封建,2015/3/24,0.00448430493273543
封建,2015/3/25,0
封建,2015/3/26,0
